aX,aY,aZ,gX,gY,gZ
0.072,-0.694,-0.721,-3.723,8.911,-1.892
0.086,-0.689,-0.783,2.258,9.644,2.991
0.095,-0.692,-0.815,6.226,8.972,4.028
0.105,-0.713,-0.840,9.521,6.470,5.005
0.098,-0.718,-0.841,8.362,4.211,5.615
0.091,-0.709,-0.842,2.686,-0.732,4.333
0.081,-0.669,-0.823,-0.305,-2.930,3.357
0.053,-0.631,-0.773,-3.967,-6.042,1.831
0.039,-0.617,-0.760,-4.089,-6.897,1.282
0.049,-0.608,-0.740,-1.587,-5.188,0.610
0.052,-0.605,-0.738,0.000,-4.456,0.977
0.051,-0.596,-0.736,0.671,-4.761,0.610
0.048,-0.602,-0.733,0.977,-4.639,-1.953
0.052,-0.630,-0.717,0.427,-3.845,-3.052
0.065,-0.651,-0.715,-0.122,-1.709,-2.563
0.071,-0.662,-0.729,0.549,-0.061,-1.892
0.088,-0.666,-0.759,2.075,1.160,-0.671
0.093,-0.661,-0.759,1.282,1.343,0.122
0.096,-0.632,-0.778,-0.122,0.854,0.305
0.103,-0.620,-0.781,-0.122,0.122,-0.793
0.090,-0.616,-0.767,-1.465,-2.686,-2.747
0.080,-0.620,-0.764,-1.648,-2.075,-4.028
0.076,-0.645,-0.768,-0.305,-1.282,-4.333
0.079,-0.678,-0.782,1.221,-0.671,-4.028
0.086,-0.687,-0.785,1.343,-0.977,-3.357
0.088,-0.704,-0.767,0.793,-2.991,-2.014
0.083,-0.713,-0.755,0.244,-3.601,-0.671
0.072,-0.705,-0.756,0.732,-3.662,1.221
0.069,-0.721,-0.757,2.319,-3.296,1.343
0.057,-0.764,-0.763,4.150,-3.784,2.502
0.050,-0.771,-0.771,3.784,-3.967,4.761
0.026,-0.779,-0.774,2.258,-4.211,6.226
0.015,-0.785,-0.774,2.197,-3.967,8.362
0.018,-0.780,-0.783,1.892,-3.418,10.193
0.028,-0.733,-0.789,0.183,-2.991,13.977
0.024,-0.702,-0.788,-0.549,-3.418,15.686
0.018,-0.646,-0.771,-1.648,-5.310,17.639
0.007,-0.644,-0.771,-1.892,-6.104,17.822
0.001,-0.665,-0.776,-3.845,-4.700,16.479
0.000,-0.702,-0.777,-8.911,-5.249,18.433
-0.016,-0.759,-0.779,-12.878,-6.165,21.057
-0.001,-0.704,-0.775,-17.639,-6.287,27.710
0.010,-0.645,-0.775,-15.747,-6.531,28.442
0.054,-0.615,-0.751,-5.371,-8.179,25.269
0.065,-0.621,-0.752,-1.282,-8.606,24.353
0.080,-0.646,-0.759,3.052,-9.766,23.743
0.085,-0.661,-0.750,-0.488,-11.597,20.874
0.085,-0.677,-0.752,-2.686,-12.146,19.836
0.111,-0.687,-0.761,-6.042,-12.756,19.104
0.142,-0.720,-0.736,-10.681,-15.015,18.188
0.152,-0.721,-0.716,-14.893,-16.113,19.165
0.153,-0.707,-0.701,-19.409,-13.977,22.461
0.169,-0.664,-0.706,-17.578,-11.963,24.109
0.194,-0.645,-0.720,-10.193,-8.911,25.940
0.202,-0.642,-0.738,-6.470,-8.179,25.879
0.224,-0.651,-0.738,-4.089,-10.864,23.804
0.224,-0.646,-0.741,-5.310,-14.160,21.667
0.227,-0.651,-0.735,-10.864,-16.724,16.602
0.229,-0.662,-0.737,-14.709,-20.020,12.512
0.244,-0.660,-0.732,-14.526,-22.400,10.986
0.278,-0.657,-0.696,-13.550,-27.100,10.193
0.271,-0.663,-0.675,-13.489,-28.870,11.414
0.264,-0.706,-0.648,-11.108,-28.198,12.817
0.253,-0.720,-0.643,-9.644,-26.062,12.878
0.265,-0.769,-0.652,-8.301,-20.996,15.686
0.264,-0.789,-0.668,-8.423,-19.226,18.250
0.269,-0.752,-0.710,-10.681,-18.494,22.156
0.276,-0.709,-0.720,-10.986,-19.409,21.545
