aX,aY,aZ,gX,gY,gZ
0.466,-0.167,-0.015,80.017,-65.735,187.622
0.469,-0.058,-0.021,67.383,-64.209,179.504
0.591,-0.131,-0.087,36.987,-66.956,159.912
0.688,-0.326,-0.152,23.987,-70.007,154.358
0.867,-0.753,-0.299,7.385,-70.679,165.466
0.852,-0.834,-0.361,7.263,-69.031,183.044
0.703,-0.604,-0.362,13.428,-64.514,219.055
0.619,-0.468,-0.236,18.311,-62.012,225.586
0.487,-0.154,0.072,47.607,-59.021,228.882
0.374,0.119,0.180,64.148,-54.565,230.164
0.222,0.594,0.448,83.191,-34.973,215.881
0.229,0.716,0.548,95.520,-28.564,199.402
0.160,0.842,0.562,109.680,-25.757,167.603
0.006,1.155,0.577,112.183,-14.832,151.978
-0.073,1.293,0.556,108.643,-14.343,138.428
-0.081,1.505,0.583,88.928,-23.499,108.887
-0.002,1.578,0.620,74.646,-28.076,84.473
0.167,1.445,0.493,50.720,-29.846,28.198
0.280,1.201,0.336,34.790,-29.846,7.507
0.387,0.930,0.092,-13.000,-40.222,-7.202
0.622,0.537,0.049,-37.231,-44.006,-6.470
0.781,0.357,-0.047,-53.528,-47.791,-5.066
0.839,0.257,-0.104,-50.842,-47.424,-6.775
1.001,0.062,-0.135,-36.255,-40.405,-10.010
1.036,0.032,-0.124,-24.292,-33.264,-10.742
1.052,0.072,-0.078,-4.089,-11.719,-10.742
1.068,0.103,-0.035,2.747,-6.226,-9.888
1.051,0.166,0.087,10.803,-2.747,-6.104
1.048,0.214,0.142,13.000,-0.549,-4.578
1.033,0.245,0.230,15.625,0.610,-4.700
1.013,0.225,0.249,16.174,0.000,-3.967
1.002,0.236,0.290,14.465,-0.488,2.197
0.995,0.258,0.314,13.794,-0.305,4.150
0.971,0.299,0.295,14.954,3.540,4.883
0.944,0.305,0.260,14.526,4.578,4.211
0.944,0.296,0.194,7.690,5.249,3.601
0.973,0.223,0.152,4.272,4.089,3.540
0.982,0.165,0.104,1.038,0.732,6.409
1.000,0.143,0.071,-3.967,-1.221,9.766
0.970,0.174,0.084,-4.272,-2.197,11.841
0.949,0.254,0.101,0.122,3.479,11.414
0.916,0.285,0.101,3.235,-0.244,8.789
0.906,0.302,0.108,6.409,4.395,3.601
